GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,zzSCENARIO/SYSTEM_TIME,CLASS
1.00282,0,0,24.4128,0,41.1627,0,0.0189634,0,14.31,takeoff
1.00282,0,0,25.422,0,42.8643,0,0.0190648,0,14.42,takeoff
1.00282,0,0,26.3392,0,44.4109,0,0.0190563,0,14.53,takeoff
1.00282,0,0,27.3479,0,46.2662,0,0.0190476,0,14.64,takeoff
1.00282,0,0,28.3564,0,47.9665,0,0.0190385,0,14.75,takeoff
1.00282,0,0,29.4561,0,49.6663,0,0.0190291,0,14.86,takeoff
1.00282,0,0,30.3723,0,51.2111,0,0.0190193,0,14.97,takeoff
1.00282,0,0,31.4715,0,53.0643,0,0.0191486,0,15.08,takeoff
1.00282,0,0,32.3871,0,54.7626,0,0.0191381,0,15.19,takeoff
1.00282,0,0,33.394,0,56.4603,0,0.0191273,0,15.3,takeoff
1.00282,0,0,34.4006,0,58.0031,0,0.0191172,0,15.4,takeoff
1.00282,0,0,35.4068,0,59.6997,0,0.0191058,0,15.51,takeoff
1.00282,0,0,36.4126,0,61.3957,0,0.0192507,0,15.63,takeoff
1.00282,0,0,37.4181,0,63.0911,0,0.0192385,0,15.73,takeoff
1.00282,0,0,38.4232,0,64.7858,0,0.019226,0,15.84,takeoff
1.00282,0,0,39.428,0,66.4799,0,0.0192131,0,15.95,takeoff
1.00282,0,0,40.4323,0,68.1733,0,0.0192,0,16.06,takeoff
1.00282,0,0,41.4362,0,69.8661,0,0.0191865,0,16.17,takeoff
1.00282,0,0,42.3485,0,71.5581,0,0.0193677,0,16.28,takeoff
1.00282,0,0,43.3517,0,73.2494,0,0.0193534,0,16.39,takeoff
1.00282,0,0,44.4455,0,74.94,0,0.0193388,0,16.5,takeoff
1.00282,0,0,45.4477,0,76.6298,0,0.0193239,0,16.61,takeoff
