Model,Parameters,Training Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Balanced Test Accuracy
0,1639624,29,0.24202831078192094,0.9356254941350479,0.2536284696534405,0.9331359652791601,0.8224118837527581
1,1092424,40,0.22887209291468075,0.9389560800153823,0.23950055578928178,0.9368197951164997,0.8264699557503705
2,820424,54,0.2918615590392271,0.9179632962486954,0.299440228508081,0.916684889576229,0.7578881231375029
3,1637480,30,0.2415799793756392,0.9384178035164881,0.2561090760889618,0.9359282746626054,0.8223504495421959
4,1093480,51,0.230292618709449,0.9395279988099329,0.24356242952673052,0.9375935675937491,0.8328810058867641
5,821480,88,0.27451913046951953,0.9260206226965751,0.2856887592863027,0.9229255328076299,0.79011146781341
6,1635336,28,0.24871174474607038,0.9355245672972077,0.2618550765780619,0.9340106646102917,0.8203571872835784
7,1091336,35,0.23501364952156478,0.9370721122587248,0.24343158862021663,0.9350535753404975,0.8229810043442962
8,819336,52,0.2860138107874923,0.9226563945416396,0.30295910234336915,0.9213275244236835,0.7752426041211415
9,3281224,42,0.23744112153353386,0.9372739659344054,0.25266361120400155,0.9361469494931325,0.8228234222641305
10,2186824,46,0.22160383202891912,0.9382327709605622,0.2362203855635788,0.9351376810355227,0.8284520177327188
11,1642824,81,0.31345327329622785,0.9117394741992116,0.3275550663427107,0.9102928560685164,0.7445031239403102
12,3278984,23,0.24852798433382559,0.9334723881184157,0.2608224861942324,0.9312351763606378,0.8131846348852504
13,2190984,28,0.22857771327486892,0.9344143719967445,0.24337897572038705,0.931504314629636,0.8124221963539346
14,1646984,51,0.2685906369946627,0.9276186311236342,0.27919511701579885,0.9259365170125787,0.7977474496708536
15,3276744,34,0.25449939008904504,0.9323285505293147,0.2727746866065294,0.9295867045682987,0.8096918258844401
16,2188744,34,0.22530560596493263,0.935743242134753,0.24228850618178002,0.9337247052165256,0.8214583848602823
17,1644744,40,0.2843485068140139,0.922034012360754,0.3001359820987028,0.9199313697525144,0.7704860053244957
