"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,2520,0.984131818188526,1.08031907218152,6.72475224209345,1,0,2520,0.994636714952678,0.520078571428573,3.90700469374995,1,0
2,1,1,3,2519,0.984246512193495,0.763717317099632,6.69805133686148,1,0,2519,0.994633631892347,0.520213576816198,3.90777847816105,1,0
3,1,1,4,2518,0.984207100351364,0.811205016720739,6.70394525739105,1,0,2518,0.994630570470834,0.520345115170772,3.90855255508402,1,0
4,1,1,5,2517,0.984168889396804,0.860626495370905,6.71067459951417,1,0,2517,0.994627551209261,0.520451728247915,3.90932568185991,1,0
5,1,1,6,2516,0.984115454472258,0.921147177236717,6.72063632424565,1,0,2516,0.994624599517804,0.520517090620033,3.91009605642991,1,0
6,1,1,7,2515,0.98406862573356,0.972383269433182,6.73003463850126,1,0,2515,0.994621731212474,0.52054194831014,3.91086267099876,1,0
7,1,1,8,2514,0.98400573036875,1.0291018878161,6.74130720664905,1,0,2514,0.994618955035682,0.520532617342881,3.9116253636158,1,0
8,1,1,9,2513,0.983950304907884,1.0827508600191,6.75234425127247,1,0,2513,0.994616266060403,0.520504178272982,3.912385741337,1,0
9,1,1,10,2512,0.983881064411965,1.13805969822176,6.76614014887231,1,0,2512,0.994613608889875,0.520511544585988,3.91315158475095,1,0
10,1,1,11,2511,0.983812560281246,1.19090023074868,6.78014078811616,1,0,2511,0.994611021624436,0.520508960573478,3.91391657934144,1,0
