"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,2520,0.984131941252211,0.0113302447394545,0.0705455843518696,0.998015873015873,0,2520,0.994636714952678,0.00545586967251191,0.0409863232019734,0.998412698412698,0
2,1,1,3,2519,0.984246512193495,0.00801175510325427,0.0702657197610178,0.998809051210798,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
3,1,1,4,2518,0.984207100351364,0.00850992348475187,0.0703275497690897,0.998808578236696,0,2518,0.994630570470834,0.00545866584216656,0.0410025609979023,0.998411437648928,0
4,1,1,5,2517,0.984168889396804,0.00902837812093788,0.0703981437439667,0.999205403257847,0,2517,0.994627551209261,0.0054597842636633,0.0410106714626691,0.998410806515693,0
5,1,1,6,2516,0.984115454472258,0.00966326863727743,0.0705026469379727,0.999205087440382,0,2516,0.994624599517804,0.00546046994579549,0.0410187530554973,0.998410174880763,0
6,1,1,7,2515,0.98406862573356,0.0102007594259959,0.0706012396901777,0.998807157057654,0,2515,0.994621731212474,0.00546073071469664,0.0410267952041388,0.998409542743539,0
7,1,1,8,2514,0.98400573036875,0.0107957645019638,0.0707194942502913,0.99920445505171,0,2514,0.994618955035682,0.00546063282844621,0.0410347962096548,0.998408910103421,0
8,1,1,9,2513,0.983950304907884,0.0113585675407427,0.0708352780574758,0.999204138479905,0,2513,0.994616266060403,0.00546033448918076,0.041042772930821,0.998408276959809,0
9,1,1,10,2512,0.983881064411965,0.0119387833572546,0.0709800035344615,0.998407643312102,0,2512,0.994613608889875,0.00546041176528083,0.0410508069896836,0.998407643312102,0
10,1,1,11,2511,0.983812560281246,0.0124931054822773,0.0711268768479235,0.998805256869773,0,2511,0.994611021624436,0.00546038465777004,0.0410588321439876,0.998407009159697,0
