"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,2520,0.999911050079323,18.1989996112534,23.0905388908562,1,0,2520,0.999943290192274,14.4929206349207,18.1922008865128,1,0
2,1,1,3,2519,0.99997941410436,7.70701927708857,11.9377057907925,1,0,2519,0.99994329152132,14.4957959507741,18.1952381306539,1,0
3,1,1,4,2518,0.999969476055764,9.0698790216619,14.5384080883029,1,0,2518,0.999943292165158,14.4990468625894,18.1984163613748,1,0
4,1,1,5,2517,0.99995541619814,10.7470161537862,17.5248507399016,1,0,2517,0.999943292245806,14.5026698450536,18.2017152134179,1,0
5,1,1,6,2516,0.999937623211537,12.4762641521543,20.7343302753818,1,0,2516,0.999943291661266,14.5068720190779,18.2051634508416,1,0
6,1,1,7,2515,0.999916919936998,14.4121256186624,23.9445606525889,1,0,2515,0.999943290901344,14.5113081510935,18.2086598779999,1,0
7,1,1,8,2514,0.999892419735243,16.1793673451719,27.1547803433046,1,0,2514,0.999943289851913,14.5164120922832,18.2122501478945,1,0
8,1,1,9,2513,0.999866429665144,18.0308788317379,30.2923079886724,1,0,2513,0.99994328884097,14.5220493434143,18.2158720567286,1,0
9,1,1,10,2512,0.999836937684869,19.8435410167039,33.3886563428793,1,0,2512,0.999943288072649,14.5274840764331,18.2194891976752,1,0
10,1,1,11,2511,0.999805209994886,21.6678086204932,36.4905399406307,1,0,2511,0.999943287813702,14.5323775388292,18.2230619441102,1,0
