"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,2520,0.999911051090112,0.00644340672430647,0.0081753139934941,0.995238095238095,0,2520,0.999943290192274,0.00513130904609556,0.00644106231786193,0.996825396825397,0
2,1,1,3,2519,0.99997941410436,0.00272871829848216,0.00422661927550509,0.996824136562128,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
3,1,1,4,2518,0.999969476055764,0.00321124730088614,0.00514741416299395,0.995631453534551,0,2518,0.999943292165158,0.00513347807525447,0.00644326294554688,0.996822875297855,0
4,1,1,5,2517,0.99995541619814,0.00380504817473321,0.00620478283145059,0.995629717918157,0,2517,0.999943292245806,0.00513476081481823,0.00644443092471112,0.996821613031387,0
5,1,1,6,2516,0.999937623211537,0.00441729922615959,0.00734111910131094,0.995230524642289,0,2516,0.999943291661266,0.00513624862077033,0.00644565179470214,0.996820349761526,0
6,1,1,7,2515,0.999916919936998,0.00510270306609687,0.00847772121137308,0.995228628230616,0,2515,0.999943290901344,0.0051378192610101,0.00644688972656958,0.996819085487078,0
7,1,1,8,2514,0.999892419735243,0.00572840603420845,0.00961431953781617,0.995624502784407,0,2514,0.999943289851913,0.00513962634325788,0.00644816088404377,0.996817820206842,0
8,1,1,9,2513,0.999866429665144,0.00638394523705723,0.0107251807917072,0.994826900119379,0,2513,0.99994328884097,0.0051416222472204,0.00644944324348208,0.996816553919618,0
9,1,1,10,2512,0.999836937684869,0.0070257296020954,0.0118214622604349,0.995222929936306,0,2512,0.999943288072649,0.00514354644838077,0.00645072391482002,0.996815286624204,0
10,1,1,11,2511,0.999805209994886,0.00767162293813342,0.0129197035167022,0.994822779769016,0,2511,0.999943287813702,0.00514527900929737,0.00645198886800392,0.996814018319395,0
