"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,2520,0.998187964511788,0.00806315495293624,0.0150317463365849,0.986111111111111,0,2520,0.998484033394974,0.00633068419841269,0.0137485258592972,0.989285714285714,0
2,1,1,3,2519,0.998610218228945,0.00325984675406024,0.0131650117051218,0.996824136562128,0,2519,0.99848425304124,0.00632979201587931,0.0137501923746061,0.989678443826915,0
3,1,1,4,2518,0.998052093469194,0.00372446161769532,0.0155882950897592,0.995234312946783,0,2518,0.998484847409125,0.00632676682287529,0.0137501135628821,0.98967434471803,0
4,1,1,5,2517,0.997593038396552,0.00443136864102919,0.017334058779901,0.994437822804927,0,2517,0.998485924059607,0.00632183955502582,0.0137477772897817,0.989670242352006,0
5,1,1,6,2516,0.996986530873801,0.00523991150529895,0.0194023966807549,0.993640699523052,0,2516,0.998486895581608,0.00631722573926867,0.0137458619646798,0.98966613672496,0
6,1,1,7,2515,0.996438938819949,0.00610836087814997,0.0211015321859204,0.992842942345924,0,2515,0.998487732211705,0.0063130335029821,0.0137444830676467,0.989662027833002,0
7,1,1,8,2514,0.99583882767864,0.00692272805220847,0.0228146614693801,0.992840095465394,0,2514,0.998488463012614,0.00630915957040572,0.0137434880696152,0.989657915672235,0
8,1,1,9,2513,0.995274550816625,0.00783402076998047,0.0243216176942499,0.991245523278949,0,2513,0.998488637216371,0.00630801411062474,0.0137450004001502,0.989653800238758,0
9,1,1,10,2512,0.994648458018622,0.00877077434114279,0.025896633476241,0.990445859872611,0,2512,0.998488642175099,0.0063082406687898,0.0137472591433733,0.989649681528662,0
10,1,1,11,2511,0.993990597356321,0.00966441043112694,0.0274574443447216,0.990043807248108,0,2511,0.998488560352754,0.00630981471923536,0.0137499159072259,0.989645559538033,0
