"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,2520,0.998187904144979,0.0293407097575691,0.0546918980946206,0.991269841269841,0,2520,0.998484033394974,0.0230333124794435,0.0500220959257929,0.990873015873016,0
2,1,1,3,2519,0.998610218228945,0.0118604982602347,0.0478990609696864,0.997221119491862,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
3,1,1,4,2518,0.998052093469194,0.013550934712488,0.0567158399583763,0.997617156473392,0,2518,0.998484847409125,0.0230190596543105,0.0500278725640911,0.990865766481334,0
4,1,1,5,2517,0.997593038396552,0.0161229174322143,0.0630675579291424,0.995629717918157,0,2517,0.998485924059607,0.0230011324766959,0.0500193723598996,0.990862137465236,0
5,1,1,6,2516,0.996986530873801,0.0190646879995124,0.0705929172252813,0.994435612082671,0,2516,0.998486895581608,0.0229843457508498,0.0500124037163553,0.990858505564388,0
6,1,1,7,2515,0.996438938819949,0.0222244200522453,0.0767749850411434,0.993638170974155,0,2515,0.998487732211705,0.0229690928831739,0.0500073867916051,0.991252485089463,0
7,1,1,8,2514,0.99583882767864,0.0251873815592803,0.0830079672697477,0.992840095465394,0,2514,0.998488463012614,0.0229549981192022,0.0500037666298882,0.991249005568815,0
8,1,1,9,2513,0.995274550816625,0.028502993153671,0.0884908175482326,0.991643454038997,0,2513,0.998488637216371,0.0229508305233719,0.0500092690338453,0.991245523278949,0
9,1,1,10,2512,0.994648458018622,0.0319112405159744,0.0942212930434013,0.990445859872611,0,2512,0.998488642175099,0.0229516548236919,0.0500174871563797,0.991242038216561,0
10,1,1,11,2511,0.993990597356321,0.0351626109300403,0.0999000859397583,0.98805256869773,0,2511,0.998488560352754,0.022957381786945,0.050027153421523,0.991238550378335,0
