"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
2,1,0,3,2520,0.984319261838349,0.00644896066197948,0.0701613781234731,0.999206349206349,0,2520,1,0,0,1,0
2,1,10,3,2510,0.981646956955555,0.0243766761723115,0.075418415537763,0.992430278884462,0,2510,0.979544080097501,0.0456394962498793,0.07938536514877,0.98406374501992,0
2,1,20,3,2500,0.972964120284895,0.0481277449044036,0.0913012912969093,0.9812,0,2500,0.946595425844287,0.0887795130563188,0.127470200506866,0.968,0
2,1,30,3,2490,0.954849560225817,0.0770998025863299,0.118158626429382,0.973895582329317,0,2490,0.894535670115329,0.130142343192291,0.178444132980516,0.951807228915663,0
2,1,40,3,2480,0.92418258755454,0.109039943965549,0.153903265085539,0.962096774193548,0,2480,0.826747794805568,0.169172912571659,0.228197988321644,0.935483870967742,0
2,1,50,3,2470,0.880371879640285,0.143242963317681,0.194191562513199,0.947368421052632,0,2470,0.747450824493637,0.20550120630266,0.275236465696051,0.919028340080972,0
2,1,60,3,2460,0.823264404232841,0.175790488765931,0.237286129461726,0.936178861788618,0,2460,0.661033112727761,0.239218287652041,0.318861846109137,0.902439024390244,0
2,1,70,3,2450,0.762423303813764,0.204734136619304,0.276912545944635,0.918367346938776,0,2450,0.571764500624277,0.270033508961141,0.358674444158916,0.885714285714286,3.13937169343253e-227
2,1,80,3,2440,0.698308876810554,0.233086783637189,0.313955226376417,0.892213114754098,0,2440,0.483794867948143,0.297695006212353,0.394338634238915,0.870491803278688,4.96564865235734e-150
2,1,90,3,2430,0.632417343576276,0.26000600537325,0.349185291115802,0.865432098765432,1.53848193770683e-295,2430,0.402079826798321,0.321818664842491,0.42507579853491,0.861728395061728,3.80044242038555e-98
2,1,100,3,2420,0.565202969837802,0.286253134293813,0.382010543721405,0.840082644628099,6.70411908095315e-218,2420,0.329601496039833,0.342204960881782,0.450552608953254,0.852892561983471,7.05328160456148e-64
