"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
2,1,0,3,2520,0.999997184276135,0.000994733475162155,0.00153456560332364,0.999603174603175,0,2520,1,0,0,1,0
2,1,10,3,2510,0.998980533543268,0.0204258461331279,0.0295210187223268,0.988844621513944,0,2510,0.99434830076449,0.0511755645863902,0.0641892216759593,0.968127490039841,0
2,1,20,3,2500,0.995477700995098,0.0454170765695282,0.0610325289157693,0.982,0,2500,0.977748402010269,0.101391507242845,0.127155205061139,0.9408,0
2,1,30,3,2490,0.987799426798185,0.0759857369800975,0.0985198225496682,0.960240963855422,0,2490,0.951328456443096,0.149851376176954,0.187864087880248,0.916465863453815,0
2,1,40,3,2480,0.973281852157216,0.111367897400309,0.14378249309244,0.939516129032258,0,2480,0.916818444096462,0.195914155961419,0.245489225122308,0.891935483870968,0
2,1,50,3,2470,0.95015839387863,0.149969414814049,0.194195601058494,0.919433198380567,0,2470,0.876329491982434,0.239063550761241,0.299357813870785,0.876923076923077,0
2,1,60,3,2460,0.917599980212854,0.190592291255443,0.247508765929915,0.896747967479675,0,2460,0.832078338196589,0.278902669598782,0.348997062113638,0.864227642276423,0
2,1,70,3,2450,0.875402626178343,0.232070030847933,0.302234800117634,0.882040816326531,0,2450,0.786198681881914,0.315304656680102,0.39408241546295,0.851428571428571,0
2,1,80,3,2440,0.823699227106002,0.275602925644316,0.357168531130489,0.861475409836066,0,2440,0.740645377989164,0.348681465720304,0.434369446999667,0.838524590163934,0
2,1,90,3,2430,0.764807417143685,0.317576196139391,0.410249205131327,0.839094650205761,0,2430,0.697178070616394,0.37860763034772,0.469610515187762,0.825514403292181,0
2,1,100,3,2420,0.701171663903359,0.357820266477951,0.460243520310163,0.827685950413223,0,2420,0.657154907794186,0.404843527485255,0.499668501154619,0.812396694214876,0
