"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
2,1,0,3,2520,0.999764357468291,0.00387432114010916,0.0197478946829605,0.999206349206349,0,2520,1,0,0,1,0
2,1,10,3,2510,0.967670802205899,0.132708668438177,0.231997808717877,0.950199203187251,0,2510,0.943819959894762,0.202462959026457,0.304731352198404,0.925099601593625,0
2,1,20,3,2500,0.894176340605426,0.269259518095137,0.418899881383801,0.9048,0,2500,0.830149281902026,0.36130660981861,0.5299875990195,0.872,0
2,1,30,3,2490,0.785917372039568,0.408581706639924,0.592411178386942,0.852610441767068,0,2490,0.681908059276487,0.502788126263033,0.725033575236012,0.816867469879518,0
2,1,40,3,2480,0.655648640747921,0.541936040343558,0.744197714245701,0.778629032258065,0,2480,0.519724851424301,0.628043020404861,0.889712043994276,0.765322580645161,5.15873633123671e-181
2,1,50,3,2470,0.527129600378147,0.645886180824625,0.864548578270155,0.724696356275304,1.19294771331372e-186,2470,0.360242382294983,0.734663566438455,1.02461871068338,0.723886639676113,1.32380004801738e-78
2,1,60,3,2460,0.393728303772834,0.744994862696116,0.976807059045922,0.66260162601626,7.30782335748707e-95,2460,0.2122056125949,0.82330673932192,1.13382670616592,0.695121951219512,6.25040265971537e-27
2,1,70,3,2450,0.295278782539858,0.801166750715515,1.03375157952343,0.635510204081633,1.60511441131761e-51,2450,0.078612311698376,0.893528244603609,1.22143392871109,0.66530612244898,4.87423916549691e-05
2,1,80,3,2440,0.201074020938422,0.840744541676604,1.08717978135243,0.593032786885246,4.01175545594875e-24,2440,-0.0397688384126836,0.947977077605827,1.28878296935153,0.633606557377049,0.975250238188831
2,1,90,3,2430,0.133108889420058,0.874489942117446,1.12446010923231,0.552263374485597,2.10203754584341e-11,2430,-0.137720540170993,0.988770302666851,1.33713120541989,0.603292181069959,0.999999999995699
2,1,100,3,2420,0.0906904469297758,0.890282475012084,1.13915983579237,0.521074380165289,3.89458728124974e-06,2420,-0.214636694514504,1.01626903352418,1.36555813245056,0.572727272727273,1
