"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
2,1,0,3,"Airspeed","Altitude",50,7560,0.708480168350427,1506.80566079149,2078.76776694219
2,1,0,3,"Airspeed","Altitude",100,7560,0.72382734755024,1431.28824558536,2021.47978804395
2,1,0,3,"Airspeed","Altitude",150,7560,0.741109417663143,1397.13119139499,1974.21756759826
2,1,0,3,"Airspeed","Altitude",200,7560,0.748810042015959,1368.15711835021,1944.12335614749
2,1,0,3,"Airspeed","Altitude",250,7560,0.753877878304205,1348.79713730586,1926.58830117923
2,1,0,3,"Airspeed","Altitude",300,7560,0.760568724199283,1327.18436532546,1901.30630250911
2,1,0,3,"Airspeed","Altitude",350,7560,0.759686491072908,1327.5995291431,1903.31027842952
2,1,0,3,"Airspeed","Altitude",400,7560,0.761584101451173,1315.45053750758,1895.12094729505
2,1,0,3,"Airspeed","Altitude",450,7560,0.764753516533331,1309.31591051594,1887.11914884411
2,1,0,3,"Airspeed","Altitude",500,7560,0.764198419206949,1303.78740735343,1882.14358313282
2,1,0,3,"Airspeed","Altitude",550,7560,0.7680708319598,1294.98220153308,1872.62538851069
2,1,0,3,"Airspeed","Altitude",600,7560,0.767083671115606,1294.08171271426,1871.14012752316
2,1,0,3,"Airspeed","Altitude",650,7560,0.768476608215126,1288.07737854824,1869.63218533648
2,1,0,3,"Airspeed","Altitude",700,7560,0.76868629922683,1290.22689708848,1869.27298922814
2,1,0,3,"Airspeed","Altitude",750,7560,0.769420098036486,1287.24938661865,1865.76811085518
2,1,0,3,"Airspeed","Altitude",800,7560,0.769597926236562,1285.25696345636,1862.37091330168
2,1,0,3,"Airspeed","Altitude",850,7560,0.771150664392939,1280.65057456465,1860.76562857762
2,1,0,3,"Airspeed","Altitude",900,7560,0.771400609846579,1278.26154872848,1855.78281237467
2,1,0,3,"Airspeed","Altitude",950,7560,0.771489272661934,1275.93227517292,1854.8245150393
