"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
2,1,0,3,"Airspeed","Pitch",50,7560,0.294946961195819,0.2241947193592,0.297645266514412
2,1,0,3,"Airspeed","Pitch",100,7560,0.332745354805903,0.213146791246716,0.2889892141624
2,1,0,3,"Airspeed","Pitch",150,7560,0.379433756080175,0.202154503462514,0.278540486394781
2,1,0,3,"Airspeed","Pitch",200,7560,0.413009451126649,0.193561782286726,0.269520270029813
2,1,0,3,"Airspeed","Pitch",250,7560,0.441816556645775,0.187480297226266,0.262890715289968
2,1,0,3,"Airspeed","Pitch",300,7560,0.463817342299304,0.181553021019973,0.2568684166159
2,1,0,3,"Airspeed","Pitch",350,7560,0.49072058869008,0.175931006453118,0.25040042797549
2,1,0,3,"Airspeed","Pitch",400,7560,0.512078344227947,0.17135870477666,0.245547199981115
2,1,0,3,"Airspeed","Pitch",450,7560,0.527659427681969,0.167488208405147,0.241512978814352
2,1,0,3,"Airspeed","Pitch",500,7560,0.543399809499226,0.163982065570708,0.237951082017513
2,1,0,3,"Airspeed","Pitch",550,7560,0.559373823931771,0.160658512997797,0.234230459585569
2,1,0,3,"Airspeed","Pitch",600,7560,0.576055816874213,0.157215992275094,0.230362341917411
2,1,0,3,"Airspeed","Pitch",650,7560,0.590405749079106,0.154109105216104,0.226459743272452
2,1,0,3,"Airspeed","Pitch",700,7560,0.604814660680152,0.151301771185767,0.223143868225076
2,1,0,3,"Airspeed","Pitch",750,7560,0.616925496465521,0.148530568012088,0.219819879576352
2,1,0,3,"Airspeed","Pitch",800,7560,0.628449725767675,0.146094143621521,0.216884917113568
2,1,0,3,"Airspeed","Pitch",850,7560,0.638461343287632,0.143757694196578,0.214498141607005
2,1,0,3,"Airspeed","Pitch",900,7560,0.647259681451806,0.141593827004444,0.212000597448568
2,1,0,3,"Airspeed","Pitch",950,7560,0.656521968946851,0.139772160693348,0.209529600835582
