"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
2,1,0,3,"Altitude","Airspeed",50,7560,0.513215759024347,54.9983669953414,88.2327299684785
2,1,0,3,"Altitude","Airspeed",100,7560,0.579532392665966,51.1836928659803,83.7329628084239
2,1,0,3,"Altitude","Airspeed",150,7560,0.601637123732464,49.5379964206768,82.0272325519613
2,1,0,3,"Altitude","Airspeed",200,7560,0.609826376508124,48.5377589989948,80.5714010034048
2,1,0,3,"Altitude","Airspeed",250,7560,0.611876816857837,48.2293711253931,80.2211698567117
2,1,0,3,"Altitude","Airspeed",300,7560,0.61783952139614,47.8054931683312,79.4487701833476
2,1,0,3,"Altitude","Airspeed",350,7560,0.626289473213566,46.9734589693415,78.7776896146091
2,1,0,3,"Altitude","Airspeed",400,7560,0.624101896499951,47.0620458095101,78.8311312056565
2,1,0,3,"Altitude","Airspeed",450,7560,0.630184218207044,46.6258774592433,78.3251893610007
2,1,0,3,"Altitude","Airspeed",500,7560,0.628859771271632,46.6555497626358,78.403118123703
2,1,0,3,"Altitude","Airspeed",550,7560,0.63463304023797,46.1025813930685,77.7187152614587
2,1,0,3,"Altitude","Airspeed",600,7560,0.635038765438717,46.0880260345616,77.7035275722628
2,1,0,3,"Altitude","Airspeed",650,7560,0.637410405222803,45.8176599867353,77.3504926105194
2,1,0,3,"Altitude","Airspeed",700,7560,0.637630000152868,45.7263529649792,77.1723658920945
2,1,0,3,"Altitude","Airspeed",750,7560,0.639953939882141,45.573384192057,77.1017588677806
2,1,0,3,"Altitude","Airspeed",800,7560,0.641065084204749,45.5277109759363,76.8821162890208
2,1,0,3,"Altitude","Airspeed",850,7560,0.641568006297703,45.631086627119,76.9569619482827
2,1,0,3,"Altitude","Airspeed",900,7560,0.644560402500767,45.1900453787815,76.5390868601281
2,1,0,3,"Altitude","Airspeed",950,7560,0.646605228889746,44.9840901193829,76.3673067696442
