"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
2,1,0,3,"Altitude","Pitch",50,7560,0.0624089022147165,0.247935644162233,0.330376350189095
2,1,0,3,"Altitude","Pitch",100,7560,0.112286721999394,0.236115785264572,0.320879164063214
2,1,0,3,"Altitude","Pitch",150,7560,0.148118575863787,0.227366605076634,0.3133505056015
2,1,0,3,"Altitude","Pitch",200,7560,0.182163529769858,0.219473120902443,0.306220098137426
2,1,0,3,"Altitude","Pitch",250,7560,0.20805280179958,0.214801564517126,0.300438307928873
2,1,0,3,"Altitude","Pitch",300,7560,0.240602226087503,0.207515147057103,0.294034513571902
2,1,0,3,"Altitude","Pitch",350,7560,0.26633382416352,0.202944638128821,0.289310253549842
2,1,0,3,"Altitude","Pitch",400,7560,0.289230676197977,0.198484264483594,0.284815218114128
2,1,0,3,"Altitude","Pitch",450,7560,0.312711309830639,0.194331326830412,0.280140141101712
2,1,0,3,"Altitude","Pitch",500,7560,0.336138670764892,0.189812201150884,0.275568783537894
2,1,0,3,"Altitude","Pitch",550,7560,0.353652012355928,0.187119360171216,0.272476492264677
2,1,0,3,"Altitude","Pitch",600,7560,0.37041746316195,0.183816797358247,0.269480358550639
2,1,0,3,"Altitude","Pitch",650,7560,0.387676278706591,0.180613594784852,0.266013772838406
2,1,0,3,"Altitude","Pitch",700,7560,0.407791531545173,0.177048561209605,0.262143841772406
2,1,0,3,"Altitude","Pitch",750,7560,0.424626109274011,0.173886681281242,0.258666425247069
2,1,0,3,"Altitude","Pitch",800,7560,0.43342949592661,0.17237658862818,0.25714188826237
2,1,0,3,"Altitude","Pitch",850,7560,0.452097888441688,0.169303191571684,0.253761451265503
2,1,0,3,"Altitude","Pitch",900,7560,0.464167663497799,0.166996220950156,0.251246887202807
2,1,0,3,"Altitude","Pitch",950,7560,0.475490576164857,0.164768104266171,0.248908290270099
