"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
2,1,0,3,"Pitch","Altitude",50,7560,0.225305449635287,2394.24108921214,3203.90690985106
2,1,0,3,"Pitch","Altitude",100,7560,0.292188718772304,2271.53235485241,3082.04220420096
2,1,0,3,"Pitch","Altitude",150,7560,0.32054053083734,2210.93595779991,3011.94496355553
2,1,0,3,"Pitch","Altitude",200,7560,0.338327377064443,2179.78063296166,2971.15754169422
2,1,0,3,"Pitch","Altitude",250,7560,0.344484060857244,2157.5248175815,2948.31316628624
2,1,0,3,"Pitch","Altitude",300,7560,0.353683034293055,2130.06373367157,2923.88152483084
2,1,0,3,"Pitch","Altitude",350,7560,0.364178774370285,2117.31548123963,2911.35274269359
2,1,0,3,"Pitch","Altitude",400,7560,0.372397452645186,2100.10789269453,2887.6601747167
2,1,0,3,"Pitch","Altitude",450,7560,0.372544513350465,2095.38913792809,2884.5796555787
2,1,0,3,"Pitch","Altitude",500,7560,0.379691229476183,2083.45114093113,2873.24203597226
2,1,0,3,"Pitch","Altitude",550,7560,0.384856918244504,2072.18430795708,2864.98319750072
2,1,0,3,"Pitch","Altitude",600,7560,0.383914604376231,2069.8352060943,2861.74747884982
2,1,0,3,"Pitch","Altitude",650,7560,0.38504728015207,2071.03389074718,2862.97992941089
2,1,0,3,"Pitch","Altitude",700,7560,0.39036515775536,2061.70184613502,2858.21605427797
2,1,0,3,"Pitch","Altitude",750,7560,0.392071370574192,2063.26675746238,2859.35257997538
2,1,0,3,"Pitch","Altitude",800,7560,0.393265189968219,2053.25475365278,2847.70124932972
2,1,0,3,"Pitch","Altitude",850,7560,0.393548569439823,2052.82284400998,2852.07189025829
2,1,0,3,"Pitch","Altitude",900,7560,0.39701929258059,2043.22871785052,2840.37921371116
2,1,0,3,"Pitch","Altitude",950,7560,0.396813331808669,2045.6833805938,2845.05249097713
