"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,333,0.998694974670175,0.029077491232271,0.0400273682623694,0.996996996996997,0,333,0.999577234536097,0.0182858612056922,0.0226115464186131,0.993993993993994,0
2,1,1,3,332,0.99996547531635,0.00397537483131309,0.00617525109709028,1,0,332,0.999572834096073,0.0183300533107722,0.0226447056818652,0.993975903614458,0
3,1,1,4,331,0.999968039566684,0.00363237909126474,0.00589875921921515,1,0,331,0.999568211671067,0.0183771632025591,0.0226783875358731,0.993957703927492,0
4,1,1,5,330,0.999964713052938,0.00372998825023874,0.00616859275018342,1,0,330,0.999563368078907,0.0184270769681815,0.0227124804882455,0.993939393939394,0
5,1,1,6,329,0.999962267284215,0.00371625056247308,0.00634566700297369,1,0,329,0.999558302762525,0.0184797120449751,0.0227468894077769,0.993920972644377,0
6,1,1,7,328,0.999966042143,0.00355722379695075,0.00599560893542034,1,0,328,0.999553010947609,0.0185351247631165,0.0227815319573312,0.99390243902439,0
7,1,1,8,327,0.999967367407266,0.00347307166780221,0.00585134802958696,1,0,327,0.999547498866832,0.0185906440906825,0.0228163298205022,0.99388379204893,0
8,1,1,9,326,0.999969575444342,0.00337615718649802,0.00562986244803646,1,0,326,0.999541753556449,0.0186440943672346,0.022851206167766,0.993865030674847,0
9,1,1,10,325,0.999971091430282,0.00326631734276232,0.00546466166061963,1,0,325,0.999535773632382,0.0186955535313173,0.0228860870948858,0.993846153846154,0
10,1,1,11,324,0.999972647217165,0.00314317661834527,0.00528953895431469,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
