"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,333,0.998694974670175,0.786569459400265,1.08277241540032,1,0,333,0.999577234536097,0.494647211767259,0.611660466187465,1,0
2,1,1,3,332,0.99996547531635,0.107537077631676,0.167045495029102,1,0,332,0.999572834096073,0.4958426436539,0.612557450853783,1,0
3,1,1,4,331,0.999968039566684,0.0982587677640528,0.159566167972604,1,0,331,0.999568211671067,0.497117004011168,0.613468572019188,1,0
4,1,1,5,330,0.999964713052938,0.100899173801614,0.166865381404965,1,0,330,0.999563368078907,0.49846721140453,0.614390813725074,1,0
5,1,1,6,329,0.999962267284215,0.100527558329254,0.171655381965137,1,0,329,0.999558302762525,0.499891032447698,0.615321602596029,1,0
6,1,1,7,328,0.999966042143,0.0962257567746561,0.162186030474171,1,0,328,0.999553010947609,0.501389990917129,0.61625871134649,1,0
7,1,1,8,327,0.999967367407266,0.0939493741870711,0.158283657267081,1,0,327,0.999547498866832,0.502891833256998,0.617200021454851,1,0
8,1,1,9,326,0.999969575444342,0.0913277597376478,0.152292294643893,1,0,326,0.999541753556449,0.504337706107464,0.618143454620868,1,0
9,1,1,10,325,0.999971091430282,0.0883565038676837,0.147823480845172,1,0,325,0.999535773632382,0.505729717768663,0.619087011675664,1,0
10,1,1,11,324,0.999972647217165,0.0850254485073219,0.143086271182665,1,0,324,0.99952955409262,0.507066333912389,0.620028514497767,1,0
