"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,333,0.998847810265068,4.22613612114823,5.9059377436811,0.972972972972973,0,333,0.999625854190274,2.65801877187288,3.35582736027971,0.987987987987988,0
2,1,1,3,332,0.999972140216459,0.544421021024749,0.831571163344348,1,0,332,0.999622372143764,2.66003783418771,3.35910662952543,0.987951807228916,0
3,1,1,4,331,0.99997312258996,0.496130620283972,0.797449076753026,1,0,331,0.999618167740133,2.66343947343074,3.36312007680738,0.987915407854985,0
4,1,1,5,330,0.999971038943368,0.506253645198991,0.819997442505333,1,0,330,0.999613232205908,2.66822650622617,3.36768350622585,0.987878787878788,0
5,1,1,6,329,0.99997010411463,0.500198965413614,0.825122532497856,0.996960486322188,0,329,0.999607556856315,2.67439922254484,3.37261461036145,0.987841945288754,0
6,1,1,7,328,0.999974396821867,0.474989710721397,0.758078115441068,0.996951219512195,0,328,0.999601108606928,2.68201769810405,3.3777379720525,0.98780487804878,0
7,1,1,8,327,0.999975674082208,0.462551582532955,0.732686099669247,0.996941896024465,0,327,0.999593953640873,2.68954894359907,3.38287702876392,0.987767584097859,0
8,1,1,9,326,0.999977351103746,0.448016617562591,0.701899688234493,0.996932515337423,0,326,0.999586014185996,2.69574710373532,3.38785893617486,0.987730061349693,0
9,1,1,10,325,0.999978441852805,0.433380397154551,0.67935707090096,0.996923076923077,0,325,0.99957731036834,2.70068519591179,3.39252742305194,0.987692307692308,0
10,1,1,11,324,0.999979329537659,0.418566298923321,0.659355737819094,0.996913580246914,0,324,0.999567841602234,2.70437641431305,3.39673024468589,0.987654320987654,0
