"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,333,0.998847810265068,0.0280606024041401,0.0392141109747342,0.987987987987988,0,333,0.999625854190274,0.0176486525284947,0.0222819461073486,0.993993993993994,0
2,1,1,3,332,0.999972140216459,0.0036148343010023,0.00552144727865844,0.993975903614458,0,332,0.999622372143764,0.0176620586524864,0.0223037197246298,0.993975903614458,0
3,1,1,4,331,0.99997312258996,0.00329419679755263,0.0052948842249396,0.993957703927492,0,331,0.999618167740133,0.0176846447792898,0.0223303681205216,0.993957703927492,0
4,1,1,5,330,0.999971038943368,0.00336141142792057,0.00544460035052118,0.993939393939394,0,330,0.999613232205908,0.0177164296106624,0.0223606682752823,0.993939393939394,0
5,1,1,6,329,0.99997010411463,0.00332120970292367,0.00547862980637471,0.993920972644377,0,329,0.999607556856315,0.0177574150719458,0.0223934097082594,0.993920972644377,0
6,1,1,7,328,0.999974396821867,0.00315382586753722,0.00503346981234766,0.99390243902439,0,328,0.999601108606928,0.0178080000525201,0.0224274276885762,0.99390243902439,0
7,1,1,8,327,0.999975674082208,0.00307123946716051,0.00486487248410563,0.99388379204893,0,327,0.999593953640873,0.0178580058449001,0.0224615498803318,0.99388379204893,0
8,1,1,9,326,0.999977351103746,0.0029747305376562,0.00466045757035075,0.993865030674847,0,326,0.999586014185996,0.0178991602474642,0.0224946286357399,0.993865030674847,0
9,1,1,10,325,0.999978441852805,0.00287754929460201,0.00451077961298928,0.993846153846154,0,325,0.99957731036834,0.017931948079476,0.0225256263486226,0.993846153846154,0
10,1,1,11,324,0.999979329537659,0.00277918698242703,0.00437797521694667,0.993827160493827,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
