"E","tau","tp","nn","theta","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
10,1,1,0,0,324,0.99999999788615,2.70340442579249e-05,4.72950304574369e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,1e-04,324,0.999999997886104,2.70350925702573e-05,4.72959505114988e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,3e-04,324,0.999999997886012,2.70371883560146e-05,4.72977905753913e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,0.001,324,0.999999997885691,2.70445146485918e-05,4.73042301012806e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,0.003,324,0.999999997884777,2.70653705213506e-05,4.73226229472306e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,0.01,324,0.999999997881597,2.7138649047793e-05,4.73869222123106e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,0.03,324,0.999999997878066,2.71551805340635e-05,4.74716267356304e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,0.1,324,0.999999998334125,2.61804232889177e-05,4.28542643507747e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,0.3,324,0.99999999834119,2.70165824223837e-05,4.36385564651054e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,0.5,324,0.999999998362186,2.77266712379696e-05,4.42300004331697e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,0.75,324,0.999999998575948,2.78673117590897e-05,4.23292903745214e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,1,324,0.999999998678779,2.7949479285747e-05,4.113826186797e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,1.5,324,0.999999998649175,2.79314336501325e-05,4.08882686087933e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,2,324,0.999999998677199,2.67836404451675e-05,4.00887880359279e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,3,324,0.999999998869258,2.16988606911769e-05,3.65859111345854e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,4,324,0.999999999038086,1.69798078856826e-05,3.33758173376994e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,6,324,0.999999999342979,1.37506570555063e-05,2.66890428600547e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,1,0,8,324,0.999999999630928,9.76018670600797e-06,1.98901351076012e-05,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
