"E","tau","tp","nn","theta","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
10,1,1,0,0,324,0.999999999876501,8.29596265970624e-06,1.07022790548132e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,1e-04,324,0.999999999876505,8.29576271421045e-06,1.07020746324905e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,3e-04,324,0.999999999876515,8.29536290898923e-06,1.07016658078514e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,0.001,324,0.999999999876547,8.29396345544618e-06,1.07002354905893e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,0.003,324,0.999999999876638,8.28996405183068e-06,1.06961529427736e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,0.01,324,0.999999999876956,8.27595536333208e-06,1.06819126805574e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,0.03,324,0.999999999877855,8.2360631522797e-06,1.0641643881673e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,0.1,324,0.999999999880874,8.09712527484505e-06,1.05056030515421e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,0.3,324,0.999999999888408,7.71184609787434e-06,1.01599449837612e-05,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,0.5,324,0.999999999894381,7.35364157730766e-06,9.8779589329825e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,0.75,324,0.999999999900042,6.95590491436116e-06,9.60091674256195e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,1,324,0.999999999904378,6.61015060773979e-06,9.37964551061634e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,1.5,324,0.999999999911164,6.03069467771776e-06,9.0164173488324e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,2,324,0.999999999916924,5.54975303725011e-06,8.69789961459452e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,3,324,0.999999999927156,4.7695559715439e-06,8.12041074685878e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,4,324,0.999999999941114,4.41191605267347e-06,7.30180793911363e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,6,324,0.999999999961876,3.32373218599835e-06,5.89790538693536e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
10,1,1,0,8,324,0.999999999972728,2.3812178156743e-06,4.97016157902612e-06,1,0,324,0.999567841602234,0.0179564569473816,0.0225535321480255,0.993827160493827,0
