"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",50,991,0.991512923902263,2.19901746600564,3.56923499604765
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",100,991,0.995462442775175,1.48708841687524,2.59819130588849
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",150,991,0.996781234542351,1.17975638714135,2.18372203083499
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",200,991,0.997438723629002,0.986668812351692,1.94719554547044
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",250,991,0.997873906702953,0.849015999837648,1.7738566135245
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",300,991,0.998234651634458,0.751018045165191,1.61627989783991
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",350,991,0.998485527422233,0.676310534363963,1.4982640801505
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",400,991,0.998641956295407,0.622047309355394,1.41648254429187
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",450,991,0.998804022208999,0.575264938229936,1.33061019001795
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",500,991,0.998939438422061,0.535612372915934,1.25374644968244
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",550,991,0.999053541640979,0.503726565449531,1.18288746468311
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",600,991,0.999146756295097,0.467086212923428,1.1207571685747
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",650,991,0.999213023792072,0.447048966561327,1.07802696232506
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",700,991,0.999269450842022,0.425180257775921,1.03644550559715
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",750,991,0.999330711673807,0.408395367500642,0.991652934783783
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",800,991,0.999397287797373,0.385985900559719,0.940842381938493
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",850,991,0.99943558376509,0.372645519998351,0.90983838623587
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",900,991,0.999454419788784,0.360456657442387,0.894287294901311
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",950,991,0.999486852498499,0.348693586226728,0.865689151457551
