"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",50,991,0.987366620128689,13.4937577191768,23.5936913695233
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",100,991,0.994302833173407,9.10145628576077,16.2234406420649
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",150,991,0.99606234093389,7.1589105545775,13.5117319731328
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",200,991,0.996898508894012,6.01981419404544,12.0157340098848
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",250,991,0.997556096108108,5.1786073705349,10.6205758480271
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",300,991,0.998046286951471,4.50376586159899,9.49775830380813
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",350,991,0.998342388716549,4.05523223276575,8.76734416969722
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",400,991,0.998586681490687,3.6622683094685,8.09357308462167
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",450,991,0.998800376988658,3.36725529651184,7.44707082845221
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",500,991,0.998949259800128,3.09868065748874,6.96300826647021
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",550,991,0.999070291422006,2.90999469986783,6.54602153730648
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",600,991,0.999167151657167,2.73590399298406,6.20129719093242
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",650,991,0.999276077572902,2.54315268041158,5.78357423211584
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",700,991,0.999327095594076,2.44357832214166,5.56612324819183
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",750,991,0.999389858579895,2.32637222522797,5.30122534726522
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",800,991,0.999468566338647,2.19711105491066,4.95285402901168
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",850,991,0.999497524517893,2.11769547039534,4.81113438547172
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",900,991,0.9995248472186,2.05167850422169,4.6789624850117
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",950,991,0.999570202383331,1.96238553473225,4.45490004963047
