"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",50,991,0.990859073615052,2.20099231368855,3.63952020434909
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",100,991,0.995132147833817,1.5239885150811,2.67450376496186
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",150,991,0.996685660983817,1.18949937264519,2.21710419975875
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",200,991,0.997425491734331,0.987617125072697,1.95352246266821
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",250,991,0.997819971591986,0.85858810274545,1.79634886222164
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",300,991,0.998194068948199,0.75444360874975,1.63621942252945
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",350,991,0.998469843594446,0.681777940253909,1.50632116604596
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",400,991,0.998643192262414,0.619563852696257,1.41858053317443
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",450,991,0.998836065663394,0.566020608997794,1.31439560142666
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",500,991,0.998940711461182,0.531463176959462,1.25034954648856
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",550,991,0.999015461475114,0.501285866820786,1.20554803113553
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",600,991,0.999144460674297,0.469535534104545,1.12508910161765
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",650,991,0.999210380209238,0.445078289606087,1.08034343626362
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",700,991,0.999260251157515,0.427169923053545,1.04295349861354
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",750,991,0.999311321375206,0.410158622339336,1.00673884573857
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",800,991,0.999397032369786,0.387038285663906,0.941366501938866
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",850,991,0.999403336454024,0.375896661244772,0.935546830067856
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",900,991,0.999473291579382,0.35721769606636,0.87836087820978
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",950,991,0.999513886815045,0.344992028708808,0.844372017899599
