"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",50,991,0.986574973144277,13.8071841447514,24.1744936261123
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",100,991,0.994098337143881,9.18298384105596,16.4801162280819
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",150,991,0.995852232888808,7.31599345069472,13.8737096629181
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",200,991,0.99687293959728,6.02266963763294,12.0494929095447
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",250,991,0.997619967939604,5.10026071863758,10.4962905903122
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",300,991,0.997962234448579,4.56092517321279,9.71495124788798
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",350,991,0.998312937318423,4.029539932898,8.83422558940613
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",400,991,0.998563214075684,3.69048267802982,8.15178222898691
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",450,991,0.9987682552009,3.3763073746197,7.54425786623095
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",500,991,0.998937965982795,3.11182220228882,6.98974082696793
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",550,991,0.999065240451287,2.90364778079675,6.5650520898627
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",600,991,0.999166158976315,2.73779016570397,6.21163773894179
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",650,991,0.999241593128309,2.592451543836,5.91510323445236
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",700,991,0.999322937014174,2.44023661758357,5.58571705988386
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",750,991,0.99937996180311,2.33278983377044,5.34506166702526
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",800,991,0.999467759161408,2.19865748988089,4.95419621266899
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",850,991,0.999493767549629,2.12388361643424,4.83120047809991
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",900,991,0.999531083413906,2.0465622497119,4.64489752516295
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",950,991,0.999553128205673,1.9820077608636,4.54247774858293
