"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",50,991,0.989602774978954,2.38955268475889,4.0422256728372
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",100,991,0.995148232928055,1.51808808096124,2.6983767137485
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",150,991,0.996730712849265,1.17669272364904,2.2051490041549
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",200,991,0.997464804884836,0.979294199364835,1.93810746694065
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",250,991,0.997934574518248,0.84600038358717,1.75054729180948
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",300,991,0.998213030828074,0.757375799081437,1.62743668228143
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",350,991,0.998483760641124,0.673400019260446,1.49805637331688
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",400,991,0.99869901430995,0.60976373519976,1.38606623211844
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",450,991,0.998840214678552,0.567445458172674,1.30964782593536
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",500,991,0.998953991706913,0.526238139396914,1.24141359948022
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",550,991,0.999066853028315,0.492024727902934,1.17284752499455
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",600,991,0.999153761040284,0.463939126195683,1.11545071829457
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",650,991,0.999227342707234,0.439904087527238,1.06576715275843
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",700,991,0.999274533239451,0.421360747970945,1.03335930881287
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",750,991,0.99930117672216,0.406698603060859,1.01246798174454
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",800,991,0.999393932481873,0.382668901733788,0.942126415150371
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",850,991,0.999427905393802,0.367416832392764,0.915863128240347
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",900,991,0.999457584909828,0.355671717920381,0.888587276774275
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",950,991,0.999509493432526,0.34168725647889,0.845985498293345
