GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,zzSCENARIO/SYSTEM_TIME,
1.00282,0,0,12.717,-0,21.4422,0,0.019012,0,5.68,
1.00282,0,0,13.1525,-0,22.1766,0,0.0190112,0,5.78,
1.00282,0,0,13.6316,-0,22.9844,0,0.0190101,0,5.89,
1.00282,0,0,14.1106,-0,23.7921,0,0.0190091,0,6,
1.00282,0,0,14.5896,-0,24.5997,0,0.0190725,0,6.11,
1.00282,0,0,15.0685,-0,25.4071,0,0.0190714,0,6.22,
1.00282,0,0,15.5473,-0,26.2145,0,0.0190702,0,6.33,
1.00282,0,0,16.026,-0,27.0217,0,0.019069,0,6.44,
1.00282,0,0,16.8963,-0,28.489,0,0.0191472,0,6.64,
1.00282,0,0,16.9833,-0,28.6357,0,0.0191469,0,6.66,
1.00282,0,0,17.4618,-0,29.4425,0,0.0191456,0,6.77,
1.00282,0,0,17.9402,-0,30.2492,0,0.0191443,0,6.88,
1.00282,0,0,18.4185,-0,31.0557,0,0.0191429,0,6.99,
1.00282,0,0,18.8968,-0,31.862,0,0.0191414,0,7.1,
1.00282,0,0,19.3749,-0,32.6683,0,0.01914,0,7.21,
1.00282,0,0,19.853,-0,33.4743,0,0.0192255,0,7.32,
1.00282,0,0,20.2875,-0,34.207,0,0.0192241,0,7.42,
1.00282,0,0,20.7654,-0,35.0127,0,0.0192225,0,7.53,
1.00282,0,0,21.2432,-0,35.8183,0,0.0192209,0,7.64,
1.00282,0,0,21.7643,-0,36.6969,0,0.0192191,0,7.76,
1.00282,0,0,22.2418,-0,37.5022,0,0.0193243,0,7.87,
1.00282,0,0,22.6759,-0,38.234,0,0.0193227,0,7.97,
1.00282,0,0,23.1532,-0,39.0389,0,0.019321,0,8.08,
1.00282,0,0,23.6305,-0,39.8436,0,0.0193191,0,8.19,
1.00282,0,0,24.1076,-0,40.6481,0,0.0193173,0,8.3,
1.00282,0,0,24.5846,-0,41.4524,0,0.0193154,0,8.41,
1.00282,0,0,25.0615,-0,42.2565,0,0.0194366,0,8.52,
1.00282,0,0,25.5383,-0,43.0604,0,0.0194346,0,8.63,
1.00282,0,0,26.015,-0,43.8641,0,0.0194326,0,8.74,
1.00282,0,0,26.4915,-0,44.6676,0,0.0194306,0,8.85,
1.00282,0,0,26.9246,-0,45.4709,0,0.0194285,0,8.96,
1.00282,0,0,27.1806,-0,45.8294,0,0.0195625,0,9.07,
1.00282,0,0,27.4886,-0,46.3488,0,0.0195612,0,9.18,
1.00282,0,0,27.8878,-0,47.0949,0,0.0195592,0,9.29,
1.00282,0,0,28.5627,-0,48.2978,0,0.0195562,0,9.4,
1.00282,0,0,29.556,-0,49.8347,0,0.0195519,0,9.5,
1.00282,0,0,30.5638,-0,51.534,0,0.019547,0,9.61,
1.00282,0,0,31.5713,-0,53.2327,0,0.0196767,0,9.72,
1.00282,0,0,32.5785,-0,54.9309,0,0.0196714,0,9.83,
1.00282,0,0,33.5853,-0,56.6285,0,0.0196659,0,9.94,
1.00282,0,0,34.5918,-0,58.3256,0,0.0196602,0,10.05,
1.00282,0,0,35.5979,-0,60.0221,0,0.0196544,0,10.16,
1.00282,0,0,36.6037,-0,61.7179,0,0.0198174,0,10.27,
1.00282,0,0,37.6092,-0,63.4132,0,0.0198112,0,10.38,
1.00282,0,0,38.6142,-0,65.1078,0,0.0198048,0,10.49,
1.00282,0,0,39.6189,-0,66.8018,0,0.0197983,0,10.6,
1.00282,0,0,40.5318,-0,68.4951,0,0.0197916,0,10.71,
1.00282,0,0,41.627,-0,70.1877,0,0.0199683,0,10.82,
1.00282,0,0,42.6304,-0,71.8796,0,0.0199727,0,10.93,
1.00282,0,0,43.5422,-0,73.417,0,0.0199661,0,11.03,
1.00282,0,0,44.5448,-0,75.1075,0,0.0199587,0,11.14,
1.00282,0,0,45.547,-0,76.9509,0,0.0199504,0,11.26,
1.00282,0,0,46.5487,-0,78.4863,0,0.0199433,0,11.36,
1.00282,0,0,47.5499,-0,80.1744,0,0.0201584,0,11.48,
1.00282,0,0,48.5507,-0,81.8618,0,0.0201502,0,11.58,
1.00282,0,0,49.551,-0,83.5484,0,0.0201419,0,11.7,
1.00282,0,0,50.5507,-0,85.2341,0,0.0201333,0,11.8,
