Altitude,Roll,Yaw,Airspeed,Pitch,X Acceleration,Y Acceleration,Z Acceleration,Vertical Velocity,Time
1.00282,0,0,0,0,0,0,0,0,0
1.00282,0,0,0.0710915,0,0.118377,0,0.0188451,0,0.11
1.00282,0,0,0.550286,0,0.927651,0,0.0189036,0,0.22
1.00282,0,0,1.0302,0,1.73692,0,0.0189036,0,0.33
1.00282,0,0,1.51014,0,2.54619,0,0.0189121,0,0.44
1.00282,0,0,1.99008,0,3.35544,0,0.0189125,0,0.55
1.00282,0,0,2.47002,0,4.16468,0,0.0189123,0,0.66
1.00282,0,0,2.94995,0,4.9739,0,0.0189121,0,0.77
1.00282,0,0,3.42986,0,5.7831,0,0.0189119,0,0.88
1.00282,0,0,3.90976,0,6.59227,0,0.0189116,0,0.99
1.00282,0,0,4.34602,0,7.40141,0,0.0189204,0,1.1
1.00282,0,0,4.82589,0,8.13696,0,0.01892,0,1.2
1.00282,0,0,5.30573,0,9.01959,0,0.0189196,0,1.32
1.00282,0,0,5.78555,0,9.75507,0,0.0189192,0,1.42
1.00282,0,0,5.90781,0,9.9612,0,0.0189191,0,1.53
1.00282,0,0,5.9736,0,10.0721,0,0.0189416,0,1.64
1.00282,0,0,6.0394,0,10.1831,0,0.0189429,0,1.75
1.00282,0,0,5.38866,0,9.08585,0,0.0189434,0,1.86
1.00282,0,0,4.40358,0,7.42491,0,0.0189442,0,1.97
1.00282,0,0,3.41856,0,5.76404,0,0.0189448,0,2.08
1.00282,0,0,2.43357,0,4.10323,0,0.0189453,0,2.19
1.00282,0,0,1.44862,0,2.44246,0,0.0189769,0,2.3
1.00282,0,0,0.463756,0,0.781713,0,0.0189771,0,2.41
1.00282,0,0,0.0148477,0,0.0174846,0,0.0179175,0,2.52
1.00282,0,0,0,0,0,0,0,0,2.63
1.00282,0,0,0,0,0,0,0,0,2.74
1.00282,0,0,0,0,0.0174846,0,0.0179256,0,2.85
1.00282,0,0,0,0,0,0,0,0,2.96
1.00282,0,0,0.0148512,0,0.0174846,0,0.0179256,0,3.07
