Label,Lags,P
Left wheel RPM & Steering wheel angle,1,0.7818465977984228
Left wheel RPM & Steering wheel angle,2,9.101000484160716e-27
Left wheel RPM & Steering wheel angle,3,0.029332563903856475
Left wheel RPM & Steering wheel angle,4,0.059524181422745015
Left wheel RPM & Steering wheel angle,5,0.9144015602210345
Left wheel RPM & Steering wheel angle,6,0.9459344120325347
Left wheel RPM & Steering wheel angle,7,0.4315378252396592
Left wheel RPM & Steering wheel angle,8,0.010680592556409171
Left wheel RPM & Steering wheel angle,9,1.0467076409448528e-05
Left wheel RPM & Steering wheel angle,10,1.2200479899679731e-07
Left wheel RPM & Steering wheel angle,11,2.7983843951876466e-06
Left wheel RPM & Steering wheel angle,12,0.002258395744489072
Left wheel RPM & Steering wheel angle,13,0.21380948782632178
Left wheel RPM & Steering wheel angle,14,0.8820123502489698
Left wheel RPM & Steering wheel angle,15,0.9982253239765252
Left wheel RPM & Steering wheel angle,16,0.9999723032245446
Left wheel RPM & Steering wheel angle,17,0.9999689457817025
Left wheel RPM & Steering wheel angle,18,0.9993945109761797
Left wheel RPM & Steering wheel angle,19,0.9908248171926252
Left wheel RPM & Steering wheel angle,20,0.9505268132829618
Right wheel RPM & Steering wheel angle,1,0.7818465977982906
Right wheel RPM & Steering wheel angle,2,9.101000484276085e-27
Right wheel RPM & Steering wheel angle,3,0.029332563987289475
Right wheel RPM & Steering wheel angle,4,0.059524181665966576
Right wheel RPM & Steering wheel angle,5,0.9144015593863049
Right wheel RPM & Steering wheel angle,6,0.9459344094922209
Right wheel RPM & Steering wheel angle,7,0.43153784261425576
Right wheel RPM & Steering wheel angle,8,0.010680593730841865
Right wheel RPM & Steering wheel angle,9,1.0467081494768538e-05
Right wheel RPM & Steering wheel angle,10,1.2200475410074578e-07
Right wheel RPM & Steering wheel angle,11,2.798381263340294e-06
Right wheel RPM & Steering wheel angle,12,0.0022583977647928828
Right wheel RPM & Steering wheel angle,13,0.21380941270043952
Right wheel RPM & Steering wheel angle,14,0.8820123739837464
Right wheel RPM & Steering wheel angle,15,0.9982253244502135
Right wheel RPM & Steering wheel angle,16,0.9999723032666975
Right wheel RPM & Steering wheel angle,17,0.9999689457696421
Right wheel RPM & Steering wheel angle,18,0.9993945105443607
Right wheel RPM & Steering wheel angle,19,0.9908248049190636
Right wheel RPM & Steering wheel angle,20,0.9505268192713068
Steering wheel angle & Left wheel RPM,1,0.938665094743562
Steering wheel angle & Left wheel RPM,2,6.985831566817824e-05
Steering wheel angle & Left wheel RPM,3,1.6701551546691517e-45
Steering wheel angle & Left wheel RPM,4,8.499819974989823e-21
Steering wheel angle & Left wheel RPM,5,1.6675294140030876e-22
Steering wheel angle & Left wheel RPM,6,9.670432135410407e-20
Steering wheel angle & Left wheel RPM,7,1.2647926958227738e-18
Steering wheel angle & Left wheel RPM,8,1.861617477490712e-17
Steering wheel angle & Left wheel RPM,9,1.3387216216630617e-16
Steering wheel angle & Left wheel RPM,10,6.547580950492982e-16
Steering wheel angle & Left wheel RPM,11,2.2082153978117683e-15
Steering wheel angle & Left wheel RPM,12,6.1889325938513346e-15
Steering wheel angle & Left wheel RPM,13,1.6768356160646235e-14
Steering wheel angle & Left wheel RPM,14,4.650297173244394e-14
Steering wheel angle & Left wheel RPM,15,1.3125921937314187e-13
Steering wheel angle & Left wheel RPM,16,3.7001022254387537e-13
Steering wheel angle & Left wheel RPM,17,1.0245814386303246e-12
Steering wheel angle & Left wheel RPM,18,2.750453408976028e-12
Steering wheel angle & Left wheel RPM,19,7.076606503886022e-12
Steering wheel angle & Left wheel RPM,20,1.7283266643479485e-11
Right wheel RPM & Left wheel RPM,1,0.7499994998535346
Right wheel RPM & Left wheel RPM,2,0.75
Right wheel RPM & Left wheel RPM,3,0.75
Right wheel RPM & Left wheel RPM,4,0.75
Right wheel RPM & Left wheel RPM,5,0.75
Right wheel RPM & Left wheel RPM,6,0.75
Right wheel RPM & Left wheel RPM,7,0.75
Right wheel RPM & Left wheel RPM,8,0.75
Right wheel RPM & Left wheel RPM,9,0.75
Right wheel RPM & Left wheel RPM,10,0.75
Right wheel RPM & Left wheel RPM,11,0.75
Right wheel RPM & Left wheel RPM,12,0.75
Right wheel RPM & Left wheel RPM,13,0.75
Right wheel RPM & Left wheel RPM,14,0.75
Right wheel RPM & Left wheel RPM,15,0.75
Right wheel RPM & Left wheel RPM,16,0.75
Right wheel RPM & Left wheel RPM,17,0.75
Right wheel RPM & Left wheel RPM,18,0.75
Right wheel RPM & Left wheel RPM,19,0.75
Right wheel RPM & Left wheel RPM,20,0.75
Steering wheel angle & Right wheel RPM,1,0.9386650947476447
Steering wheel angle & Right wheel RPM,2,6.985831566992035e-05
Steering wheel angle & Right wheel RPM,3,1.6701551557474882e-45
Steering wheel angle & Right wheel RPM,4,8.4998192878036e-21
Steering wheel angle & Right wheel RPM,5,1.667529232617812e-22
Steering wheel angle & Right wheel RPM,6,9.670431797448584e-20
Steering wheel angle & Right wheel RPM,7,1.2647928401149925e-18
Steering wheel angle & Right wheel RPM,8,1.8616179030924738e-17
Steering wheel angle & Right wheel RPM,9,1.338720738601068e-16
Steering wheel angle & Right wheel RPM,10,6.547583052903698e-16
Steering wheel angle & Right wheel RPM,11,2.208217694024508e-15
Steering wheel angle & Right wheel RPM,12,6.188911701662641e-15
Steering wheel angle & Right wheel RPM,13,1.6768286535808817e-14
Steering wheel angle & Right wheel RPM,14,4.6502881356151175e-14
Steering wheel angle & Right wheel RPM,15,1.3125915683989068e-13
Steering wheel angle & Right wheel RPM,16,3.7000923573152654e-13
Steering wheel angle & Right wheel RPM,17,1.0245795304382808e-12
Steering wheel angle & Right wheel RPM,18,2.750459571946854e-12
Steering wheel angle & Right wheel RPM,19,7.076620680754674e-12
