Time,Steering wheel angle,Left wheel RPM,Right wheel RPM
0,0.0,280.11269984173583,280.11269984173583
1,13.599007288089512,283.5311807899875,276.6942188934841
2,27.177594316793062,286.85118541171914,273.3742142717526
3,40.715381982000814,290.0619971031665,270.1634025803051
4,54.19207339900249,293.15503466756434,267.07036501590727
5,67.58749478451645,296.12366354315236,264.1017361403193
6,80.881636066105,298.96300362219665,261.262396061275
7,94.05469112908801,301.66974038386195,258.5556592996097
8,107.08709761190612,304.2419439903839,255.98345569308773
9,119.95957616193265,306.67889933504716,253.5465003484245
10,132.65316906498035,308.98094874311323,251.2444509403584
11,145.14927816320264,311.14934806099467,249.07605162247702
12,157.429701977734,313.1861361693859,247.03926351408572
13,169.4766719542576,315.0940174703813,245.1313822130904
14,181.27288775171706,316.8762565803082,243.3491431031635
15,192.80155149660334,318.5365842696445,241.6888154138272
16,204.04640092764276,320.0791135965612,240.1462860869105
17,214.9917413582763,321.50826515545674,238.71713452801495
18,225.62247638705483,322.82870038602925,237.39669929744247
19,235.92413728897048,324.0452619463636,236.18013773710805
20,245.8829110237883,325.1629202333631,235.06247945010858
21,255.4856668006421,326.18672522676945,234.03867445670224
22,264.71998114148664,327.1217629324479,233.10363675102374
23,273.574161389465,327.9731158017429,232.25228388172874
24,282.037267611838,328.7458266030588,231.47957308041285
25,290.0991328508195,329.4448653168412,230.78053436663055
26,297.75038167947525,330.0750987140266,230.15030096944506
27,304.98244702373665,330.64126235949936,229.5841373239723
28,311.78758521558143,331.14793485524905,229.0774648282226
29,318.1588892464924,331.5995142021715,228.62588548130017
30,324.09030019444805,332.00019621444557,228.22520346902613
31,329.5766168018893,332.35395496600194,227.87144471746976
32,334.61350318635084,332.6645252848079,227.5608743986638
33,339.19749466972814,332.93538733772357,227.29001234574807
34,343.32600171645873,333.16975336688466,227.05564631658697
35,346.9973119752239,333.3705566484408,226.8548430350308
36,350.2105904231138,333.54044274664926,226.6849569368224
37,352.965877615531,333.6817631315518,226.5436365519198
38,355.2640860494273,333.79657121760243,226.42882846586926
39,357.1069946517681,333.8866208646028,226.33877881886895
40,358.49724140937985,333.9533673621552,226.27203232131643
41,359.4383141605625,333.9979708955765,226.22742878789518
42,359.93453957301404,334.02130246588587,226.20409721758574
43,359.99107033672095,334.0239522101028,226.20144747336894
44,359.613870604505,334.0062400416285,226.21915964184322
45,358.8096997168664,333.9682285048489,226.25717117862274
46,357.5860942516257,333.9097377140752,226.3156619693964
47,355.9513484426283,333.83036222522003,226.39503745825172
48,353.91449301542883,333.72948966975173,226.49591001371994
49,351.4852724914073,333.6063209648796,226.61907871859205
50,348.6741210151778,333.4598919018657,226.76550778160595
51,345.49213676343186,333.28909590596237,226.9363037775092
52,341.951054996489,333.09270775669097,227.13269192678067
53,338.06321981681725,332.8694080558565,227.35599162761514
54,333.84155470162074,332.61780823254423,227.60759145092746
55,329.2995318792593,332.3364758789618,227.88892380450991
56,324.45114062177095,332.02396021791225,228.20143946555936
57,319.31085452809947,331.6788175113423,228.5465821721294
58,313.89359787477605,331.29963622923776,228.92576345423396
59,308.21471111278015,330.8850618085338,229.34033787493783
60,302.28991559107766,330.43382084207735,229.7915788413943
61,296.13527758892974,329.94474454749405,230.2806551359776
62,289.76717174045365,329.41679137457635,230.80860830889532
63,283.20224393611903,328.84906861713284,231.37633106633885
64,276.4573737868504,328.2408529008275,231.98454678264414
65,269.5496367372055,327.5916094222251,232.63379026124653
66,262.496265914684,326.90100981600443,233.32438986746715
67,255.31461380260095,326.1689485272243,234.05645115624733
68,248.02211382414202,325.3955575638738,234.82984211959783
69,240.63624192518336,324.5812195021315,235.6441801813402
70,233.17447824322417,323.72657861333244,236.4988210701392
71,225.65426894934348,322.832549978295,237.39284970517664
72,218.09298834944633,321.90032645217707,238.32507323129457
73,210.50790133022397,320.93138334230116,239.2940163411705
74,202.91612623420437,319.9274806633515,240.29791902012013
75,195.33459824703692,318.8906628399552,241.33473684351645
76,187.7800333787161,317.8232557368313,242.4021439466404
77,180.26889311883377,316.7278609122595,243.49753877121228
78,172.81734984413998,315.6073470122579,244.61805267121375
79,165.44125305470783,314.46483825103286,245.76056143243875
80,158.15609651283663,313.30369995815,246.92169972532167
81,150.9769863564974,312.12752121432703,248.09787846914463
82,143.91861025662982,310.94009464521486,249.28530503825687
