Model,Parameters,Training Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Balanced Test Accuracy
0,17931,190,0.5752766275545224,0.8354352508754372,0.6051223811045202,0.8289756997846817,0.7957269620640371
1,17931,198,0.8690250489719828,0.7406951717984233,0.8847917327511241,0.7303906490310673,0.7166026258896396
2,17931,199,1.5757066140135263,0.3914180254338522,1.5732127274047114,0.3874192556228245,0.35120456224352953
3,35851,198,0.4614114999697781,0.8798831126683311,0.4962432768158053,0.8669640110735158,0.8515572893171737
4,35851,197,0.8331064233336952,0.7499231010244576,0.8510210442244182,0.7320824361734851,0.7173663501687483
5,35851,199,1.4281973114969986,0.4830821275307706,1.4248450666675199,0.48031374963383716,0.45460164489402727
6,71691,101,0.45203363337138364,0.8817286997602669,0.4726344881099725,0.8828052906797909,0.8599305464922998
7,71691,198,0.8188477825363099,0.7431559506946988,0.8375034110797658,0.7360812057828361,0.7204454546934173
8,71691,199,1.3018749402288803,0.5216856355008548,1.298200179910117,0.514764687806707,0.4931863237097442
9,34443,38,0.6704343365031512,0.7563826523352242,0.6891619529551046,0.7463857274684712,0.7295104395633518
10,34443,147,0.6547805225251455,0.7705321448724184,0.675123259920188,0.7596124269455552,0.7415477332072239
11,34443,199,0.9016131033937002,0.733159026432976,0.9133159642639764,0.7245462934481698,0.7100806923639393
12,101643,38,0.7170857839568217,0.7331590279547188,0.7371277635013532,0.7231621039680098,0.7051317564520251
13,101643,109,0.6865253836989073,0.7756075062996716,0.7084202593068128,0.7657643801907106,0.7469407270674331
14,101643,199,0.8200705430941082,0.7380805907891883,0.8354554201723502,0.7273146724084897,0.7136363460209303
15,334347,60,0.6506781728588152,0.7540756699416279,0.6727513287506335,0.7462319286373423,0.7307475555929007
16,334347,86,0.6999371020436763,0.7729929252904366,0.7218057069548164,0.7634573977237773,0.7437330375805957
17,334347,199,0.7600574944980766,0.7443863428654725,0.7820091485949672,0.7326976314980006,0.7181447970684975
18,50955,39,0.6448665123761745,0.7974469387982303,0.6668661560087489,0.7854506305752076,0.762050120918541
19,50955,94,0.6448978516770231,0.7963703472186734,0.6639340602363377,0.7891418025223008,0.7657487748775375
20,50955,199,0.6958669838411043,0.762842202197585,0.7163547087507738,0.7565364503229776,0.737714498038996
21,167435,17,0.633291550560461,0.7920639790670206,0.6501973592815161,0.7848354352506921,0.7614425898406411
22,167435,84,0.6005422207473865,0.802060903970442,0.6222258107510393,0.7931405721316518,0.777804015701726
23,167435,199,0.6432369023387302,0.7671485712292817,0.6659227239970096,0.758535835127653,0.7395954210145663
24,597003,64,0.40140130994907347,0.8620424480190353,0.41673597077412516,0.8557366964011074,0.8279667743339266
25,597003,58,0.6056499190053292,0.7759151039619293,0.6275561752204013,0.7662257766840972,0.750366091722811
26,597003,192,0.6284228748851319,0.7726853276281788,0.6532799544214506,0.77960627499231,0.7588558195307296
