Model,Parameters,Training Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Balanced Test Accuracy
0,205115,40,0.10410990877926661,0.9870808988268726,0.08862337572962652,0.9901568748077515,0.9896635985042374
1,137915,45,0.055281236832511675,0.9923100599652985,0.0506528776331996,0.990772070132267,0.989161584562532
2,102715,61,0.009717105183895345,0.997385419870809,0.011986233757885961,0.9975392187019378,0.9971205429551724
3,202971,45,0.0978776505638071,0.9890802842732467,0.07747205736959877,0.9904644724700092,0.9895855567203783
4,135771,37,0.02679039204681664,0.9933866493814141,0.026146433538684323,0.9930790525992003,0.9920807389136452
5,103771,33,0.03676523871018552,0.9946170424322318,0.03814142274215026,0.994770839741618,0.9941362994825823
6,200827,28,0.09447392993653896,0.987388497130829,0.08558269765009455,0.9895416794832359,0.9893204855209927
7,133627,46,0.019213482767620825,0.9940018455859736,0.018420814066597724,0.9953860350661335,0.9945919943070698
8,101627,76,0.010594116204301647,0.9966164248351206,0.010465172098065943,0.9972316210396801,0.9969193220910918
9,413115,28,0.10867548986962303,0.985235311973282,0.09283940424734136,0.9870808981851737,0.9855851074241957
10,278715,41,0.08843234680324875,0.9898492769071484,0.07764809587917379,0.9916948631190403,0.9912694017335185
11,208315,42,0.08068403620668207,0.9924638579163835,0.07013278021219047,0.993386650261458,0.9932791426345005
12,410875,16,0.10358660114440357,0.9887726850892463,0.08734855053786703,0.9887726853275915,0.987928300311776
13,276475,27,0.08371103077356869,0.9913872652184373,0.0797009629317885,0.9904644724700092,0.9899759554973632
14,212475,36,0.028300403391653618,0.9967702245462935,0.03234913101959326,0.9964626268840356,0.9962800568400049
15,408635,51,0.09129665068702235,0.9887726859692902,0.08245716760273558,0.9901568748077515,0.9898764889579407
16,274235,26,0.10894905219570156,0.987849892102473,0.08803132753235629,0.989387880652107,0.9891121671912493
17,210235,61,0.15333365453495976,0.9880036909336019,0.156792712798826,0.988157490003076,0.9887378527455588
