Model,Parameters,Training Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Balanced Test Accuracy
0,132619,28,1.16182540461172,0.5966578716757849,1.1550905803472407,0.5861037819765069,0.5379847652158065
1,132619,31,0.8586748446197812,0.7007915565604794,0.8934679942479129,0.6905892700717023,0.6386076668590959
2,132619,197,0.9244109490511181,0.6619173265384181,0.9407704563233134,0.6564643800101368,0.5982667317240226
3,265227,21,1.1292469709508757,0.5836411608974453,1.1293382251168305,0.5836411610127753,0.5229870413164104
4,265227,26,0.8323244028271765,0.7060686015516598,0.8546420192131371,0.7016710642459839,0.6495079775093886
5,265227,183,0.8616367905938845,0.6958663151048209,0.889360005979278,0.6898856640700824,0.6358348005011515
6,530443,16,1.1272618602217555,0.5862796831781023,1.0993445902617227,0.581530343091792,0.5439643618481825
7,530443,26,0.7870356491499023,0.7233069479308216,0.8156420947693898,0.7204925242598474,0.6749402304675732
8,530443,153,0.8166650124778848,0.7159190852702869,0.8637101733485334,0.6976253298886953,0.6440419414371955
9,149131,8,0.9629863655242148,0.6295514514179951,0.9874790542987532,0.6182937555912826,0.5597085995451093
10,149131,10,0.9457504527025717,0.6402814424761367,0.9700712886837982,0.626737027327639,0.5746287805427687
11,149131,78,0.9193172291275065,0.6513632366713874,0.9473368122688803,0.6360598065607781,0.5840902023411766
12,331019,5,0.9477963696054544,0.6385224272519114,0.9472243470063625,0.62620932286312,0.57655671194886
13,331019,7,0.9160611797972741,0.6671943709739175,0.9396095976875661,0.6561125770093269,0.6080806948935809
14,331019,47,0.9580795167199121,0.6351802991269027,0.98933660505944,0.6300791557357305,0.5799415446647939
15,793099,5,0.9219104743674856,0.6369393142043444,0.9300506780204169,0.6256816183671473,0.5697812419381053
16,793099,6,0.9140149804721721,0.6737027266933505,0.9259217696642813,0.6687774846505573,0.6232698042728653
17,793099,35,0.9319592704559064,0.6601583115763064,0.963357147021365,0.6437994723374527,0.5924720054369298
18,165643,5,0.8990744020714504,0.6517150398084964,0.9057536652870313,0.6374670185535334,0.5818128463468212
19,165643,6,1.005283264990113,0.6017590151822871,1.0133412105531785,0.6014072120346935,0.5495410081691529
20,165643,41,1.0031440274172325,0.6138962183275449,1.0237469840070712,0.5915567282374322,0.5403109495815247
21,396811,7,0.870348108318047,0.6576956904972449,0.8776862722273552,0.646437994796347,0.6083487192585063
22,396811,5,1.0064183346304647,0.6207563766493751,1.0271535912730134,0.6124890062404287,0.5580391468862156
23,396811,28,0.9712965252217014,0.6314863675712176,0.9834502292287486,0.6235708004147102,0.5760378180803686
24,1055755,0,14.901795774273634,0.07546174143528665,14.768541368603602,0.08372911170072585,0.09090909090909091
25,1055755,2,1.0028751149970183,0.589621811879761,1.012368577954637,0.5878627969386185,0.5409675536779673
26,1055755,19,0.9695598652830434,0.6325417768357612,1.0036043289154375,0.61776605109531,0.5708136256429427
