Model,Parameters,Training Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Balanced Test Accuracy
0,1638715,11,0.29969305949664055,0.9125769571662473,0.3048037936421162,0.911521547964611,0.8924083192646879
1,1091515,17,0.18564998033073982,0.9447669305084249,0.200792385164645,0.9417766051221125,0.9309787669349276
2,819515,22,0.1361896254666143,0.958663148762578,0.15317833709711554,0.9546174142689902,0.9465235502384602
3,1636571,16,0.20094752214200265,0.9458223397519994,0.21325903673416288,0.9416007036269497,0.9287990517656716
4,1092571,21,0.10004714572099394,0.9708003520755886,0.10789607515855117,0.9681618293860342,0.9609399130710579
5,820571,30,0.07398747851713351,0.9783641159482032,0.08030035244260006,0.9762532981635188,0.9732001166082174
6,1634427,22,0.13971401388407173,0.9628847846569675,0.14966344382276425,0.959894459134356,0.9505397322389971
7,1090427,50,0.0832202392365708,0.978364116367585,0.07959055656349334,0.976781002649007,0.9725052402271281
8,818427,36,0.03527921551974489,0.9899736149120247,0.03476526118551193,0.9901495162708883,0.9882728202667334
9,3280315,14,0.3206696834444685,0.9167985926307705,0.34340236343200936,0.9099384345081467,0.8938985110172109
10,2185915,11,0.18729582387518232,0.9384344769551656,0.18769006330975338,0.9416007036269497,0.9278659416598155
11,1641915,18,0.15040370303754128,0.9530343009278558,0.148337508057856,0.9558487247351292,0.9460676149506472
12,3278075,16,0.20090718739580038,0.9452946348576139,0.20855625345057946,0.9451187335302039,0.9341046978283561
13,2190075,28,0.10688077788161099,0.9660510115698963,0.10541006929209176,0.9685136323658751,0.9602173255229122
14,1646075,34,0.06715028019345111,0.9799472296877503,0.07087774979427339,0.9804749340579084,0.9774616592169817
15,3275835,13,0.1017363827691963,0.9704485490852631,0.10455395063735945,0.9699208443481458,0.9635049043527186
16,2187835,55,0.05938824828298027,0.9843447670668181,0.06384379100201941,0.9834652594651899,0.97988261035557
17,1643835,23,0.05106935395466831,0.9824098507563274,0.0554643418177923,0.9841688654458407,0.9805274814283984
