Model,Parameters,Training Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Balanced Test Accuracy
0,1638715,33,0.1900041195260084,0.937379067575292,0.20893343911426782,0.9357959542865804,0.9355563121837178
1,1091515,56,0.0656807992138827,0.9774846087554724,0.08306861397148443,0.9741424802110817,0.9728703307291522
2,819515,24,0.32011693445547906,0.888830255172498,0.34356692119345084,0.884080914708744,0.8866130747131713
3,1636571,29,0.18934024465430066,0.9417766053737415,0.194988658264109,0.9449428320140721,0.9439358745940365
4,1092571,40,0.10642679300791565,0.9644678981134319,0.11375909473029479,0.9632365875109938,0.9624498236902128
5,820571,21,0.24036982292235684,0.92172383464211,0.250369553935035,0.9159190853122251,0.9140767500917996
6,1634427,37,0.26463968269166555,0.9264731752945858,0.2713678308086848,0.9292875989865292,0.9275181155728565
7,1090427,22,0.2199595180486731,0.9247141599130924,0.23404083642961168,0.9243623570800352,0.9263054532377247
8,818427,21,0.1375652842728213,0.9459982409745639,0.1702827486993455,0.940545294645489,0.9430393397427262
9,3280315,25,0.22521376877158172,0.9319261214978463,0.2517349779094744,0.9299912049357264,0.9290998157670599
10,2185915,44,0.07517497290512293,0.9746701849691681,0.10151709305661466,0.9693931398416886,0.9678512111016456
11,1641915,4,1.1530115911388146,0.5345646438833487,1.1783392001372632,0.5167985928037655,0.4865432110215758
12,3278075,19,0.23345606268081312,0.922779243896169,0.26151896232350835,0.9217238346735637,0.9189010601824673
13,2190075,46,0.12473029227322828,0.9614775726956658,0.15019226413819753,0.9586631486367634,0.9590197561057118
14,1646075,30,0.0722958592090202,0.9736147758618928,0.09677879123333366,0.9676341249005461,0.9683457154618889
15,3275835,30,0.20450965264646653,0.9465259453237529,0.22498718324914352,0.9449428320350413,0.94325226918879
16,2187835,23,0.17561781258570489,0.9363236586043158,0.2142440387217382,0.933509234828496,0.935762220917173
17,1643835,31,0.10059024892229727,0.9613016713368022,0.13179540307299548,0.9583113456569226,0.9602899371378464
